,model,selling_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,company
10001,Honda BRV i-DTEC S MT,865000,2016,Individual,70000,First Owner,Diesel,Manual,Honda
10002,Maruti Vitara Brezza ZDi,720000,2017,Dealer,71000,First Owner,Diesel,Manual,Maruti
10003,Maruti Ertiga VDI,580000,2015,Individual,90000,First Owner,Diesel,Manual,Maruti
10004,Maruti Swift Dzire VXi AT,580000,2017,Individual,15000,First Owner,Petrol,Automatic,Maruti
10005,Maruti Ciaz 1.4 AT Zeta,950000,2018,Dealer,19000,First Owner,Petrol,Automatic,Maruti
10006,Ford Figo Diesel EXI,185000,2011,Dealer,65000,First Owner,Diesel,Manual,Ford
10007,Audi A8 L 3.0 TDI quattro,2900000,2013,Dealer,131473,First Owner,Diesel,Automatic,Audi
10008,Nissan Terrano XV 110 PS,565000,2015,Dealer,100000,First Owner,Diesel,Manual,Nissan
10009,Maruti Alto LX,130000,2010,Dealer,70000,First Owner,Petrol,Manual,Maruti
10010,Mercedes-Benz CLA Urban Sport 200,2700000,2018,Individual,13000,First Owner,Petrol,Automatic,Mercedes-Benz
10011,Maruti Ignis 1.2 Delta BSIV,535000,2020,Individual,10000,First Owner,Petrol,Manual,Maruti
10012,BMW X1 sDrive20d xLine,3350000,2018,Dealer,18000,First Owner,Diesel,Automatic,BMW
10013,Nissan Terrano XV 110 PS,425000,2015,Individual,90000,First Owner,Diesel,Manual,Nissan
10014,Renault Pulse RxZ,409999,2013,Dealer,55000,First Owner,Diesel,Manual,Renault
10015,Tata Sumo Victa EX 7/9 Str BSII,250000,2012,Individual,40000,First Owner,Diesel,Manual,Tata
10016,Maruti Celerio VXI,340000,2014,Individual,100000,First Owner,Petrol,Manual,Maruti
10017,Hyundai Grand i10 Asta,385000,2015,Dealer,29000,First Owner,Petrol,Manual,Hyundai
10018,Nissan Micra Diesel XV,270000,2012,Individual,120000,First Owner,Diesel,Manual,Nissan
10019,Maruti Wagon R VXI,382000,2017,Dealer,24500,First Owner,Petrol,Manual,Maruti
10020,Toyota Innova 2.5 G1 Diesel 8-seater,399000,2006,Dealer,99100,First Owner,Diesel,Manual,Toyota
10021,Mahindra Bolero Power Plus ZLX,625000,2015,Dealer,69666,First Owner,Diesel,Manual,Mahindra
10022,Ford Endeavour 4x2 XLT,484999,2007,Dealer,55200,First Owner,Diesel,Manual,Ford
10023,Mahindra Thar CRDe,795000,2019,Dealer,29800,First Owner,Diesel,Manual,Mahindra
10024,Hyundai i10 Sportz Option,290000,2011,Individual,20000,First Owner,Petrol,Manual,Hyundai
10025,Mahindra Quanto C6,300000,2013,Individual,90000,First Owner,Diesel,Manual,Mahindra
10026,Mahindra Bolero Power Plus Plus AC BSIV PS,650000,2015,Individual,150000,First Owner,Diesel,Manual,Mahindra
10027,Maruti Vitara Brezza VDi,642000,2016,Individual,100000,First Owner,Diesel,Manual,Maruti
10028,Mercedes-Benz E-Class 220 petrol,599000,2009,Dealer,46000,First Owner,Petrol,Manual,Mercedes-Benz
10029,Ford Ecosport 2015-2021 1.5 TDCi Titanium Plus BSIV,865000,2017,Dealer,47665,First Owner,Diesel,Manual,Ford
10030,Nissan Micra Diesel XV Premium,225000,2012,Individual,50000,First Owner,Diesel,Manual,Nissan
10031,Hyundai EON Magna Plus,295000,2015,Dealer,30000,First Owner,Petrol,Manual,Hyundai
10032,Honda Amaze EX i-Dtech,345000,2014,Dealer,43000,First Owner,Diesel,Manual,Honda
10033,Maruti Omni 5 Seater,150000,2012,Dealer,133000,First Owner,Petrol,Manual,Maruti
10034,Maruti Alto LX,150000,2008,Individual,100000,First Owner,Petrol,Manual,Maruti
10035,Toyota Fortuner 4x4 MT,1450000,2013,Dealer,30000,First Owner,Diesel,Manual,Toyota
10036,Maruti Swift Dzire Vdi BSIV,465000,2014,Dealer,46001,First Owner,Diesel,Manual,Maruti
10037,BMW 5 Series 520d Sport Line,3915000,2017,Dealer,45000,First Owner,Diesel,Automatic,BMW
10038,Maruti Swift VXI 2018,500000,2018,Individual,50000,First Owner,Petrol,Manual,Maruti
10039,Maruti Ritz VDi,300000,2013,Individual,72000,First Owner,Diesel,Manual,Maruti
10040,Nissan Micra Diesel XL Optional,375000,2014,Individual,42000,First Owner,Diesel,Manual,Nissan
10041,Hyundai i10 Era,240000,2009,Dealer,38564,First Owner,Petrol,Manual,Hyundai
10042,Maruti Swift Dzire AMT ZDI,680000,2017,Dealer,50948,First Owner,Diesel,Automatic,Maruti
10043,Skoda Rapid 1.5 TDI AT Ambition,495000,2016,Dealer,68200,First Owner,Diesel,Automatic,Skoda
10044,Renault KWID RXT Optional,295000,2016,Dealer,42000,First Owner,Petrol,Manual,Renault
10045,Tata Indica V2 DLG TC,100000,2006,Individual,30000,First Owner,Diesel,Manual,Tata
10046,Hyundai Santro Xing GLS,129000,2011,Dealer,38000,First Owner,Petrol,Manual,Hyundai
10047,Maruti Wagon R LXI,250000,2013,Individual,48000,First Owner,Petrol,Manual,Maruti
10048,Maruti Vitara Brezza ZDi,950000,2019,Dealer,21400,First Owner,Diesel,Manual,Maruti
10049,Maruti Baleno Zeta 1.3,670000,2017,Dealer,53701,First Owner,Diesel,Manual,Maruti
10050,Maruti Ciaz 1.4 Delta,811999,2018,Individual,2700,First Owner,Petrol,Manual,Maruti
10051,Renault KWID RXL,235000,2017,Individual,28600,First Owner,Petrol,Manual,Renault
10052,Maruti Swift ZXI,380000,2012,Individual,100000,First Owner,Petrol,Manual,Maruti
10053,Ford Figo Diesel Titanium,200000,2014,Individual,40000,First Owner,Diesel,Manual,Ford
10054,BMW X5 xDrive 30d,3350000,2015,Dealer,95500,First Owner,Diesel,Automatic,BMW
10055,Hyundai EON 1.0 Era Plus,319000,2018,Individual,3500,First Owner,Petrol,Manual,Hyundai
10056,Tata Nano Cx,57000,2010,Dealer,81425,First Owner,Petrol,Manual,Tata
10057,Renault KWID 1.0 RXT Optional,330000,2017,Individual,24000,First Owner,Petrol,Manual,Renault
10058,Hyundai Getz 1.1 GVS Option,195000,2009,Dealer,44000,First Owner,Petrol,Manual,Hyundai
10059,Skoda Fabia 1.2 TDI Ambition,250000,2010,Individual,220000,First Owner,Diesel,Manual,Skoda
10060,Hyundai i10 Sportz,235000,2010,Dealer,57726,First Owner,Petrol,Manual,Hyundai
10061,Ford Figo 1.2P Titanium Plus MT,360000,2016,Dealer,35000,First Owner,Petrol,Manual,Ford
10062,Toyota Innova 2.5 V Diesel 7-seater,880000,2010,Dealer,150000,First Owner,Diesel,Manual,Toyota
10063,Hyundai Verna VTVT 1.6 SX,990000,2018,Individual,20000,First Owner,Petrol,Manual,Hyundai
10064,Nissan Terrano XL D Option,568000,2014,Dealer,36908,First Owner,Diesel,Manual,Nissan
10065,Honda Jazz 1.5 SV i DTEC,675000,2017,Dealer,69000,First Owner,Diesel,Manual,Honda
10066,Maruti Alto 800 LXI,200000,2013,Individual,73000,First Owner,Petrol,Manual,Maruti
10067,Maruti Swift Dzire VXi,350000,2014,Individual,101000,First Owner,Petrol,Manual,Maruti
10068,Mahindra Scorpio VLX SE BSIV,700000,2011,Individual,15000,First Owner,Diesel,Manual,Mahindra
10069,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,950000,2018,Dealer,30000,First Owner,Diesel,Manual,Ford
10070,Nissan Sunny Diesel XL,425000,2014,Individual,30000,First Owner,Diesel,Manual,Nissan
10071,Maruti Alto K10 VXI,350000,2017,Individual,40000,First Owner,Petrol,Manual,Maruti
10072,Honda Amaze S i-Dtech,320000,2013,Individual,39500,First Owner,Diesel,Manual,Honda
10073,Hyundai i20 Asta 1.4 CRDi,395000,2013,Dealer,70175,First Owner,Diesel,Manual,Hyundai
10074,Hyundai Verna 1.4 CX,300000,2013,Individual,90000,First Owner,Diesel,Manual,Hyundai
10075,Maruti Swift Dzire Tour LXI,500000,2018,Individual,114000,First Owner,Petrol,Manual,Maruti
10076,Maruti Wagon R LXI BSIII,190000,2009,Dealer,45641,First Owner,Petrol,Manual,Maruti
10077,Datsun RediGO T Option,235000,2017,Dealer,22558,First Owner,Petrol,Manual,Datsun
10078,Ford Ecosport 2015-2021 1.5 TDCi Trend Plus BSIV,576000,2016,Dealer,51000,First Owner,Diesel,Manual,Ford
10079,Toyota Fortuner 3.0 Diesel,1025000,2011,Dealer,140782,First Owner,Diesel,Manual,Toyota
10080,Maruti Alto LX,90000,2002,Dealer,54000,First Owner,Petrol,Manual,Maruti
10081,Hyundai i20 Petrol Spotz,621000,2019,Individual,20000,First Owner,Petrol,Manual,Hyundai
10082,Hyundai i20 Active 1.2 SX Dual Tone,525000,2016,Individual,30000,First Owner,Petrol,Manual,Hyundai
10083,Toyota Fortuner 4x4 MT,1290000,2012,Dealer,75000,First Owner,Diesel,Manual,Toyota
10084,Honda Amaze S CVT Petrol BSIV,675000,2019,Individual,10000,First Owner,Petrol,Automatic,Honda
10085,Mahindra TUV 300 T4,700000,2017,Individual,50000,First Owner,Diesel,Manual,Mahindra
10086,Nissan Terrano Groove Edition,600000,2015,Individual,90000,First Owner,Diesel,Manual,Nissan
10087,Maruti Ciaz ZDi Plus SHVS,650000,2016,Individual,70000,First Owner,Diesel,Manual,Maruti
10088,Mahindra Renault Logan 1.4 GLX BSIV Petrol,155000,2008,Dealer,23207,First Owner,Petrol,Manual,Mahindra
10089,Maruti Ciaz Alpha 1.5,750000,2018,Dealer,19000,First Owner,Diesel,Manual,Maruti
10090,Maruti Wagon R VXI,350000,2016,Individual,50000,First Owner,Petrol,Manual,Maruti
10091,Mahindra Scorpio 2.6 CRDe,250000,2006,Individual,200000,First Owner,Diesel,Manual,Mahindra
10092,Maruti Baleno Delta 1.2,515000,2016,Dealer,51000,First Owner,Petrol,Manual,Maruti
10093,Hyundai Elantra 2.0 SX Option,1550000,2018,Individual,40000,First Owner,Petrol,Manual,Hyundai
10094,Mahindra Scorpio Intelli Hybrid S10,1200000,2017,Individual,56000,First Owner,Diesel,Manual,Mahindra
10095,Hyundai Santro Xing GLS,170000,2011,Individual,50000,First Owner,Petrol,Manual,Hyundai
10096,Toyota Platinum Etios 1.5 V,450000,2016,Dealer,32032,First Owner,Petrol,Manual,Toyota
10097,Maruti Wagon R VXI,295000,2014,Dealer,41423,First Owner,Petrol,Manual,Maruti
10098,Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,825000,2018,Dealer,67000,First Owner,Diesel,Manual,Maruti
10099,Hyundai EON Era Plus,161000,2012,Individual,20000,First Owner,Petrol,Manual,Hyundai
10100,Mahindra Bolero 2011-2019 SLE,450000,2013,Individual,104000,First Owner,Diesel,Manual,Mahindra
10101,Honda City i VTEC VX Option,1000000,2015,Individual,15000,First Owner,Petrol,Manual,Honda
10102,Hyundai i20 1.2 Asta Option,550000,2017,Dealer,54000,First Owner,Petrol,Manual,Hyundai
10103,Honda Brio E MT,229999,2013,Dealer,22245,First Owner,Petrol,Manual,Honda
10104,Hyundai i20 1.2 Magna,295000,2012,Individual,45000,First Owner,Petrol,Manual,Hyundai
10105,Tata Indica V2 DLX TC ABS,90000,2011,Individual,60000,First Owner,Diesel,Manual,Tata
10106,Hyundai i20 Active 1.4 SX with AVN,650000,2016,Dealer,28000,First Owner,Diesel,Manual,Hyundai
10107,Mahindra XUV500 W10 2WD,1225000,2016,Dealer,95961,First Owner,Diesel,Manual,Mahindra
10108,Mahindra TUV 300 T6 Plus,650000,2017,Individual,30000,First Owner,Diesel,Manual,Mahindra
10109,Hyundai Xcent 1.2 VTVT S,575000,2017,Dealer,16000,First Owner,Petrol,Manual,Hyundai
10110,Maruti Alto K10 VXI,300000,2017,Individual,100000,First Owner,Petrol,Manual,Maruti
10111,Mahindra XUV500 AT W10 AWD,1000000,2016,Individual,90000,First Owner,Diesel,Automatic,Mahindra
10112,Toyota Fortuner 2016-2021 2.8 2WD MT BSIV,2650000,2018,Individual,57000,First Owner,Diesel,Manual,Toyota
10113,Hyundai Verna VTVT 1.4 E,795000,2018,Dealer,19211,First Owner,Petrol,Manual,Hyundai
10114,Mahindra Scorpio LX BSIV,492000,2014,Individual,120000,First Owner,Diesel,Manual,Mahindra
10115,Maruti Vitara Brezza ZDi Plus AMT,1050000,2019,Dealer,19910,First Owner,Diesel,Automatic,Maruti
10116,Hyundai i20 Asta Option BSIV,650000,2018,Individual,20000,First Owner,Petrol,Manual,Hyundai
10117,Honda Jazz 1.2 S i VTEC,300000,2009,Dealer,78435,First Owner,Petrol,Manual,Honda
10118,Volkswagen Vento Diesel Comfortline,320000,2013,Individual,50000,First Owner,Diesel,Manual,Volkswagen
10119,Mahindra XUV500 W5 BSIV,1010000,2018,Individual,54200,First Owner,Diesel,Manual,Mahindra
10120,Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,630000,2017,Individual,50000,First Owner,Diesel,Manual,Maruti
10121,Skoda Rapid 1.6 MPI AT Ambition,350000,2012,Dealer,41900,First Owner,Petrol,Automatic,Skoda
10122,Honda City i DTec VX,600000,2016,Dealer,47129,First Owner,Diesel,Manual,Honda
10123,Volkswagen Vento Diesel Highline,349000,2013,Individual,80000,First Owner,Diesel,Manual,Volkswagen
10124,Maruti Eeco 5 Seater AC BSIV,385000,2019,Individual,25000,First Owner,Petrol,Manual,Maruti
10125,Datsun GO T BSIV,320000,2016,Individual,30000,First Owner,Petrol,Manual,Datsun
10126,Maruti Wagon R LXI,100000,2006,Individual,35000,First Owner,Petrol,Manual,Maruti
10127,Hyundai Verna VTVT 1.6 SX,1100000,2019,Individual,15000,First Owner,Petrol,Manual,Hyundai
10128,Tata Manza Aura (ABS) Safire,250000,2010,Individual,70000,First Owner,Petrol,Manual,Tata
10129,Chevrolet Beat LT,160000,2012,Dealer,36000,First Owner,Petrol,Manual,Chevrolet
10130,Maruti Baleno Delta 1.3,685000,2017,Dealer,57000,First Owner,Diesel,Manual,Maruti
10131,Maruti Ciaz 1.4 AT Zeta,925000,2017,Dealer,33529,First Owner,Petrol,Automatic,Maruti
10132,Maruti Swift VDI BSIV,250000,2010,Individual,150000,First Owner,Diesel,Manual,Maruti
10133,Chevrolet Spark 1.0 LT,150000,2015,Individual,60000,First Owner,Petrol,Manual,Chevrolet
10134,Hyundai Grand i10 1.2 CRDi Sportz,430000,2018,Individual,70000,First Owner,Diesel,Manual,Hyundai
10135,Hyundai Creta 1.6 SX Automatic Diesel,1050000,2016,Dealer,62000,First Owner,Diesel,Automatic,Hyundai
10136,Mahindra TUV 300 T8,550000,2015,Individual,90000,First Owner,Diesel,Manual,Mahindra
10137,Hyundai i10 Era,200000,2012,Individual,25000,First Owner,Petrol,Manual,Hyundai
10138,Chevrolet Cruze LTZ,260000,2010,Individual,80000,First Owner,Diesel,Manual,Chevrolet
10139,Maruti Baleno Alpha 1.3,650000,2017,Individual,44000,First Owner,Diesel,Manual,Maruti
10140,Hyundai Grand i10 Magna,300000,2013,Individual,50000,First Owner,Petrol,Manual,Hyundai
10141,Ford Figo 1.5D Ambiente MT,450000,2015,Dealer,75001,First Owner,Diesel,Manual,Ford
10142,Hyundai i20 Magna 1.2,450000,2015,Individual,20000,First Owner,Petrol,Manual,Hyundai
10143,Mahindra TUV 300 T10 Dual Tone,850000,2018,Dealer,33033,First Owner,Diesel,Manual,Mahindra
10144,Hyundai EON Sportz,285000,2018,Dealer,9000,First Owner,Petrol,Manual,Hyundai
10145,Maruti Dzire VXI AT,790000,2020,Dealer,7151,First Owner,Petrol,Automatic,Maruti
10146,Mahindra Alturas G4 4X4 AT,2500000,2019,Dealer,13033,First Owner,Diesel,Automatic,Mahindra
10147,Maruti A Star Lxi,295000,2012,Dealer,19000,First Owner,Petrol,Manual,Maruti
10148,Tata Sumo Gold GX,330000,2013,Dealer,100000,First Owner,Diesel,Manual,Tata
10149,Ford Ecosport 2015-2021 1.5 Diesel Trend Plus BSIV,790000,2018,Dealer,74455,First Owner,Diesel,Manual,Ford
10150,Renault KWID RXT,245000,2016,Dealer,23000,First Owner,Petrol,Manual,Renault
10151,Volkswagen Polo 1.5 TDI Highline,375000,2014,Dealer,37151,First Owner,Diesel,Manual,Volkswagen
10152,Hyundai i20 Magna 1.4 CRDi,560000,2016,Individual,91000,First Owner,Diesel,Manual,Hyundai
10153,Hyundai Xcent 1.2 VTVT S,500000,2017,Dealer,64059,First Owner,Petrol,Manual,Hyundai
10154,Hyundai EON Era Plus,265000,2013,Dealer,40000,First Owner,Petrol,Manual,Hyundai
10155,Volkswagen Ameo 1.2 MPI Trendline,360000,2017,Individual,43000,First Owner,Petrol,Manual,Volkswagen
10156,Renault KWID RXT Optional,270000,2017,Individual,70000,First Owner,Petrol,Manual,Renault
10157,Maruti Alto K10 VXI,240000,2013,Dealer,23460,First Owner,Petrol,Manual,Maruti
10158,Hyundai i20 Asta 1.2,515000,2015,Individual,79000,First Owner,Petrol,Manual,Hyundai
10159,Maruti Zen Estilo VXI BSIII,100000,2008,Individual,110000,First Owner,Petrol,Manual,Maruti
10160,Mahindra XUV500 W8 2WD,600000,2014,Individual,120000,First Owner,Diesel,Manual,Mahindra
10161,Maruti Swift VDI,475000,2015,Dealer,52631,First Owner,Diesel,Manual,Maruti
10162,Honda City V MT,400000,2012,Dealer,43120,First Owner,Petrol,Manual,Honda
10163,Chevrolet Spark 1.0 LT,80000,2009,Individual,50000,First Owner,Petrol,Manual,Chevrolet
10164,Hyundai Xcent 1.2 Kappa S,375000,2015,Individual,70000,First Owner,Petrol,Manual,Hyundai
10165,Ford Ecosport 2015-2021 1.5 TDCi Trend Plus BSIV,875000,2017,Individual,10000,First Owner,Diesel,Manual,Ford
10166,Ford Freestyle Titanium Petrol BSIV,630000,2018,Individual,18000,First Owner,Petrol,Manual,Ford
10167,Maruti Ertiga VDI,570000,2014,Dealer,48000,First Owner,Diesel,Manual,Maruti
10168,Mahindra Scorpio BSIV,982000,2019,Individual,20000,First Owner,Diesel,Manual,Mahindra
10169,Maruti Celerio ZXI Optional,412000,2017,Individual,7500,First Owner,Petrol,Manual,Maruti
10170,Maruti Ritz VDi ABS,220000,2010,Individual,40000,First Owner,Diesel,Manual,Maruti
10171,Hyundai i20 1.4 Asta Option,750000,2018,Individual,38000,First Owner,Diesel,Manual,Hyundai
10172,Renault Duster 85PS Diesel RxL,900000,2016,Individual,60000,First Owner,Diesel,Manual,Renault
10173,Hyundai Verna 1.6 SX VTVT,530000,2016,Dealer,32359,First Owner,Petrol,Manual,Hyundai
10174,Maruti Swift Dzire Ldi BSIV,180000,2010,Individual,68500,First Owner,Diesel,Manual,Maruti
10175,Mahindra XUV500 W5 BSIV,1050000,2018,Individual,50000,First Owner,Diesel,Manual,Mahindra
10176,Maruti Eeco 5 Seater AC BSIV,310000,2016,Individual,40000,First Owner,Petrol,Manual,Maruti
10177,Hyundai Santro Xing GL,175000,2010,Dealer,24000,First Owner,Petrol,Manual,Hyundai
10178,Tata Nexon 1.2 Revotron XZ Plus,900000,2017,Individual,25000,First Owner,Petrol,Manual,Tata
10179,Maruti Swift VXI Deca,425000,2016,Individual,31000,First Owner,Petrol,Manual,Maruti
10180,Mahindra Quanto C6,215000,2013,Individual,90000,First Owner,Diesel,Manual,Mahindra
10181,Maruti Swift Dzire VXI,400000,2013,Individual,114000,First Owner,Petrol,Manual,Maruti
10182,Tata Tigor 1.2 Revotron XZ Option,440000,2017,Trustmark Dealer,40159,First Owner,Petrol,Manual,Tata
10183,Maruti Ignis 1.2 Delta BSIV,509999,2019,Individual,25000,First Owner,Petrol,Manual,Maruti
10184,Hyundai Santro Xing GLS,220000,2010,Dealer,65000,First Owner,Petrol,Manual,Hyundai
10185,Maruti Swift Dzire LXI 1.2,525000,2019,Individual,60000,First Owner,Petrol,Manual,Maruti
10186,Chevrolet Beat LS,235000,2011,Dealer,40181,First Owner,Petrol,Manual,Chevrolet
10187,Tata Venture EX 7 Str Captain Seats,180000,2012,Individual,60000,First Owner,Diesel,Manual,Tata
10188,Hyundai Verna 1.6 CRDi SX,530000,2015,Individual,80000,First Owner,Diesel,Manual,Hyundai
10189,Mahindra Quanto C8,204999,2013,Individual,90000,First Owner,Diesel,Manual,Mahindra
10190,Maruti SX4 S Cross DDiS 200 Delta,815000,2016,Dealer,30000,First Owner,Diesel,Manual,Maruti
10191,Ford Figo Diesel LXI,169000,2012,Dealer,49754,First Owner,Diesel,Manual,Ford
10192,Datsun GO T,315000,2014,Dealer,34540,First Owner,Petrol,Manual,Datsun
10193,BMW X5 xDrive 30d Design Pure Experience 7 Seater,1600000,2009,Dealer,90000,First Owner,Diesel,Automatic,BMW
10194,Maruti Wagon R LXI CNG,270000,2013,Individual,70000,First Owner,CNG,Manual,Maruti
10195,Mahindra Bolero 2011-2019 DI - AC BS III,575000,2014,Individual,60000,First Owner,Diesel,Manual,Mahindra
10196,Maruti Swift AMT ZXI Plus,625000,2018,Dealer,39000,First Owner,Petrol,Automatic,Maruti
10197,Honda Amaze S i-Dtech,299000,2013,Dealer,48000,First Owner,Diesel,Manual,Honda
10198,Renault KWID RXT,450000,2018,Dealer,9000,First Owner,Petrol,Manual,Renault
10199,Hyundai Venue SX Opt Diesel,1050000,2019,Dealer,30000,First Owner,Diesel,Manual,Hyundai
10200,Hyundai i10 Era,260000,2015,Individual,70000,First Owner,Petrol,Manual,Hyundai
10201,Maruti Vitara Brezza LDi Option,610000,2017,Individual,70000,First Owner,Diesel,Manual,Maruti
10202,Renault KWID AMT,330000,2018,Dealer,7000,First Owner,Petrol,Automatic,Renault
10203,Maruti Wagon R LXI DUO BSIII,102000,2007,Individual,110000,First Owner,LPG,Manual,Maruti
10204,Hyundai EON D Lite Plus,250000,2013,Individual,50000,First Owner,Petrol,Manual,Hyundai
10205,Tata Indigo eLS BS IV,190000,2011,Individual,32500,First Owner,Diesel,Manual,Tata
10206,Mercedes-Benz GLA Class 200 d Sport,2590000,2017,Dealer,30000,First Owner,Diesel,Automatic,Mercedes-Benz
10207,Toyota Innova 2.5 G (Diesel) 7 Seater,750000,2013,Individual,277000,First Owner,Diesel,Manual,Toyota
10208,Nissan Micra Active XV,545000,2018,Dealer,14000,First Owner,Petrol,Manual,Nissan
10209,Mahindra KUV 100 mFALCON D75 K4 Plus,475000,2016,Dealer,96330,First Owner,Diesel,Manual,Mahindra
10210,Maruti Swift Dzire VXI,425000,2013,Dealer,75823,First Owner,Petrol,Manual,Maruti
10211,Maruti Alto K10 LXI,225000,2012,Dealer,28000,First Owner,Petrol,Manual,Maruti
10212,Toyota Innova 2.5 EV Diesel PS 7 Seater BSIII,600000,2014,Individual,210000,First Owner,Diesel,Manual,Toyota
10213,Honda City i VTEC VX,750000,2017,Dealer,24024,First Owner,Petrol,Manual,Honda
10214,Volkswagen Polo Diesel Highline 1.2L,210000,2012,Dealer,55000,First Owner,Diesel,Manual,Volkswagen
10215,Mahindra Bolero SLX 2WD BSIII,525000,2009,Individual,120000,First Owner,Diesel,Manual,Mahindra
10216,Renault KWID 1.0 RXL,265000,2017,Dealer,18000,First Owner,Petrol,Manual,Renault
10217,Maruti Wagon R VXI,300000,2016,Individual,40000,First Owner,Petrol,Manual,Maruti
10218,Chevrolet Tavera Neo 3 10 Seats BSIII,300000,2009,Individual,150000,First Owner,Diesel,Manual,Chevrolet
10219,Honda City i DTec S,650000,2015,Dealer,75000,First Owner,Diesel,Manual,Honda
10220,Hyundai i20 Sportz 1.4 CRDi,300000,2012,Individual,80000,First Owner,Diesel,Manual,Hyundai
10221,Mahindra KUV 100 G80 K2 Plus 6 Str,400000,2021,Individual,30000,First Owner,Petrol,Manual,Mahindra
10222,Maruti Ertiga ZDI,660000,2013,Individual,90000,First Owner,Diesel,Manual,Maruti
10223,Maruti Alto LXi BSIII,130000,2009,Individual,46500,First Owner,Petrol,Manual,Maruti
10224,Maruti Swift Dzire VDI,500000,2015,Dealer,36908,First Owner,Diesel,Manual,Maruti
10225,Maruti Swift Dzire VDI,620000,2015,Individual,60000,First Owner,Diesel,Manual,Maruti
10226,Honda WR-V i-DTEC VX,890000,2017,Dealer,22000,First Owner,Diesel,Manual,Honda
10227,Volkswagen Vento Diesel Highline,272000,2013,Individual,193000,First Owner,Diesel,Manual,Volkswagen
10228,Hyundai i20 Asta 1.4 CRDi,650000,2016,Individual,20000,First Owner,Diesel,Manual,Hyundai
10229,Nissan Sunny XL,229999,2011,Dealer,68524,First Owner,Petrol,Manual,Nissan
10230,Maruti Alto K10 VXI,340000,2018,Individual,20000,First Owner,Petrol,Manual,Maruti
10231,Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,200000,2012,Individual,70000,First Owner,Petrol,Manual,Chevrolet
10232,Renault KWID 1.0,270000,2016,Individual,25500,First Owner,Petrol,Manual,Renault
10233,Mahindra Marazzo M2 BSIV,980000,2019,Individual,15000,First Owner,Diesel,Manual,Mahindra
10234,Mahindra Bolero 2011-2019 Plus Non AC BSIV PS,750000,2017,Individual,90000,First Owner,Diesel,Manual,Mahindra
10235,Mahindra Scorpio 1.99 S6 Plus,969999,2017,Individual,50000,First Owner,Diesel,Manual,Mahindra
10236,Mahindra XUV500 W10 2WD,1085000,2015,Dealer,70765,First Owner,Diesel,Manual,Mahindra
10237,Maruti Ritz VXI,250000,2009,Individual,50000,First Owner,Petrol,Manual,Maruti
10238,Maruti Swift Dzire VXi,325000,2009,Dealer,56000,First Owner,Petrol,Manual,Maruti
10239,Maruti Swift VXI with ABS,280000,2011,Individual,40000,First Owner,Petrol,Manual,Maruti
10240,Maruti Ertiga ZDI,750000,2015,Individual,120000,First Owner,Diesel,Manual,Maruti
10241,Maruti Wagon R LXI Minor,150000,2010,Individual,80000,First Owner,Petrol,Manual,Maruti
10242,Mahindra XUV500 W8 AWD,725000,2013,Individual,70000,First Owner,Diesel,Manual,Mahindra
10243,Skoda Laura 1.8 TSI Ambition,490000,2011,Dealer,105000,First Owner,Petrol,Manual,Skoda
10244,Hyundai i20 Magna 1.2,486000,2015,Individual,20000,First Owner,Petrol,Manual,Hyundai
10245,Ford Ikon 1.6 Nxt,110000,2004,Individual,35000,First Owner,Petrol,Manual,Ford
10246,Chevrolet Sail 1.2 Base,300000,2015,Individual,36000,First Owner,Petrol,Manual,Chevrolet
10247,Hyundai Verna 1.6 SX VTVT,950000,2019,Dealer,26000,First Owner,Petrol,Manual,Hyundai
10248,Hyundai Grand i10 1.2 Kappa Sportz BSIV,475000,2018,Individual,62728,First Owner,Petrol,Manual,Hyundai
10249,Maruti Wagon R LXI,75000,2005,Individual,40000,First Owner,Petrol,Manual,Maruti
10250,Mahindra KUV 100 mFALCON D75 K8,380000,2016,Individual,80000,First Owner,Diesel,Manual,Mahindra
10251,Volkswagen Vento 1.6 Highline,640000,2016,Dealer,61000,First Owner,Petrol,Manual,Volkswagen
10252,Hyundai Xcent 1.2 VTVT SX,680000,2019,Individual,3400,First Owner,Petrol,Manual,Hyundai
10253,Maruti Swift Dzire VDI,500000,2016,Individual,120000,First Owner,Diesel,Manual,Maruti
10254,Ford Fiesta 1.4 Duratorq ZXI,250000,2012,Dealer,95278,First Owner,Diesel,Manual,Ford
10255,Hyundai i20 1.2 Spotz,650000,2018,Individual,20000,First Owner,Petrol,Manual,Hyundai
10256,Honda City V MT,400000,2013,Dealer,47000,First Owner,Petrol,Manual,Honda
10257,Ford Figo Petrol EXI,179000,2011,Dealer,39568,First Owner,Petrol,Manual,Ford
10258,Hyundai i10 Magna,315000,2015,Dealer,48429,First Owner,Petrol,Manual,Hyundai
10259,Tata Safari Storme VX,800000,2013,Individual,50000,First Owner,Diesel,Manual,Tata
10260,Tata Indigo GLX,400000,2007,Individual,100000,First Owner,Petrol,Manual,Tata
10261,Hyundai Creta 1.6 CRDi SX Option,800000,2015,Individual,110000,First Owner,Diesel,Manual,Hyundai
